,Comment,Likes,Time,user
0,"Masih betah dengan Redmi Note 8 karena memang baru beli dan pemakaian udah 4 bulan. Salah satu kelemahan terbesar ya layarnya yg burn in. Tapi udah diatasi dengan pergantian LCD melalui service center. Alhasil, layarnya udah normal lagi dan cakep. Salut sih buat Xiaomi, hp yg benar2 bisa dijangkau, baik itu dari low end sampai flagshipnya. Karena memang udah jatuh hati ke Xiaomi, jadi susah pindah ke brand lain. Setiap brand punya kelebihan apalagi kekurangan pada produknya, gak ada yg sempurna. Beli HP ya lebih bagus sesuai dengan kebutuhan. Good job Xiaomi",37,2 years ago,
1,"hal yg gw suka dari david gadgetin adalah dia jujur, murni pendapat pribadi. kemudian kalo menurut dia hp yg direview gak rekomended yg bilang gak rekomended karena dia jujur. bahkan utk netizen yg gak suka dengan konten video milik david gadgetin dipersilakan utk dislike.. maju terus bang david..",59,2 years ago,
2,"Sebenernya sempet ngerasa, kalo persaingan pasar smartphone itu bener2 masif sekarang. Terutama brand Redmi, Realme, dan Samsung, yg terus menerus ngeluarin produk. Jadi setiap bulan kyk disuguhi dgn produk2 baru terus, dgn berbagai variasi harga dan fitur. Sehingga produk2 yg sebenernya masih tergolong baru pun, jadi terkesan cepet lawas karena produk2 yg lebih baru datang terus..",43,2 years ago,
3,"Gw family man 40's, sudah cocok lah, lebih dari cukup. Saya bukan gamer freek, tapi main game juga. aplikasi terasupi dengan baik. Kamera jarang dipakai tapi bisa diandalkan jika diperlukan. Mengingat pas mau beli poco x3 kemarin, keinget kebutuhan pengeluaran anak2, jadinya note 9 jadi pilihan. Kalo ke seri lama xiaomi takutnya sudah barang refubish/repacking.",23,2 years ago,
4,"Saya sebagai user Redmi Note, dari note 2, note 3, dan sekarang stay di note 4, karena seri Redmi Note itu seri yg paling worth it dan baterai nya juga awet banget, pemakaian biasa bisa nembus 7 jam, padahal umur baterai nya udah 3 tahun lebih, selain Batere layar Redmi Note juga udah FHD+, Dari jaman note 2, dan satu lagi, ir blaster buat jadiin hp sebagai remote, kadang fitur kaya gitu suka dianggap remeh, padahal itu sangat berguna kalau lagi mager ambil remote, sekian review yg sangat singkat dari saya, semoga membantu, terimakasih.",32,2 years ago,
5,"Dulu jamanan saya sekolah sma 2010/2011 teman kelas saya pakai hp yg biasa pd umumnya kek nokia jadul yg harganya 3rts rb yg bekas nexian cross samsung champ dan guru saya pada pake hp yg mahal harganya udh beda level ma kita kek blackberry terus nokia yg d lipat bahkan samsung yg dulu sekitaran 1,2 jt d rasa udh mahal bgt... Tp skrg 2021 saya udh jd guru hp saya redmi note 9 wktu Beli 2.7 jtan dan ternyata siswa saya pun pada pakai hp tipe itu ... Jd memang tuu hp harganya terjangkau dan JAWARA,",13,2 years ago (edited),
6,Yang aku suka dari merk Xiaomi dan teman-teman seperusahaannya adalah fitur nya. Khususnya Remote ️,35,2 years ago,
7,"Saya nonton review bang David selalu pakai Mi5. Setia dgn hp Compact, layar gk terlalu lebar, gk kegedan. Dan masih suka sama hp yg ada jidat dan dagunya.",9,2 years ago,
8,"Hmmm.... bener ternyata, udah ada rasa rasa sih kalo masih lebih worth it beli yg Note 8 Pro ketimbang yg Note 9.Pas liat review nya bang David jadi makin yakin saya, oke deh fix beli yg Note 8 Pro aja deh hehe.Thank you bang reviewnya~",8,2 years ago,
9,"Xiaomi sejak Brand Redmi nya dilepas ke pasaran, kualitas nya jauh menurun tidak seperti di awal awal generasi, seperti Mi Max, Redmi Note 3 Pro, Mi4C,W,S, mi5, mi5s,x.Sejak brand nya Redmi saja sepertinya kualitas menurun.Bagusan masih sama Mi kudu kesan elegan nya dapet dgn logo mi.Skrg malaz pake Xiaomi kalo jenis Redmi.Terakhir pakai Redmi 5, dan note 5 pro cukup lumayan.Setelah itu malas kalo pake Redmi, Klo keluarga mi, blackshark, poco okelah.",3,2 years ago,
10,"Sudah terlanjur beli renot 8 bulan kemarin dan terlanjur jatuh cinta ama desain dan build quality secara casingnya belakang udah kaca  corning gorillas 5 depan belakang,SD 665,pingin upgrade ke renot 8 pro dr pd yg note 9 ini malahan",9,2 years ago,
11,"masih bertahan dgn redmi note 4, sdh pakai 3 tahun mesin msh oke bgt.. Xiaomi pokoknya awet bgt.",4,2 years ago,
12,"Alhamdulillah sudah ganti HP dari redmi 4a ke redmi note 9, semoga yg mau beli juga bisa kebeli Aamiinnn",2.2K,2 years ago (edited),
13,"klo sy pribadi untuk range harga segitu lebih baik vivo z1 pro, realme 3 pro atau realme 5 pro dg kisaran 2,3-2,9 jt tergantung kapasitas ram dan internal storage, walaupun desainnya sdh mulai ditinggalkan, dan sepertinya chipsetnya kurang bagus dlm mensupport gyroEIS walaupun ada fitur tsb",7,2 years ago (edited),
14,"Seminggu kebelakang bingung saat mau beli redmi note 8 tapi mau keluar redmi note 9, tapi lihat speknya terus nge bandingin akhirnya pilih beli redmi note 8 secara harga 2,1jt (4/64 gb) kamera sama , layar compact (terlalu gede susah kalau dikantongin), performa ngga beda jauh, punya kelebihan juga kaca bagian belakangnya kerasa premiumSarannya sih beli redmi note 8 pro (4/64GB) sekalian G90t kenceng, bahan ok, harga tinggal nambah dikit udah dapet NFC di harga 2,7jt an",0,2 years ago,
15,"Renot 8 pro sih sukanya dipasang gcam,snap soalnya jadi lebih enak dikasih gcam,desain juga bagus backdoor kacaKalo batere lebih suka note 9",9,2 years ago,
16,"Jujur gua berterimakasih sama Xiaomi karena luncurin hp nya itu bener2 merhatiin fansnya, buat fans nya abis beli hp yg sebelumnya gak nyesel2 amat, reno 7 ke reno 8 selisih peluncuran nya lama jadi di buat selisih yg menggoda saat reno 8 di luncurkan, sekrang reno 8 ke reno 9 selisih peluncuran nya cepat, entah kenapa kaya Xiaomi sadar dan buat hp yg ramah sama pendahulunya, buat hp dengan desain lebih fresh tapi buildnya gak sebagus reno 8, mesin beda tipis jadi buat kita yg udah beli reno 8 gak nyesel, tapi buat yg belum pake reno 8 bagus banget kalo milih hp ini",4,2 years ago,
17,Keluaran suara dari HP ini bagus. Keras tapi tetap tidak cempreng. Bass dan treble nya seimbang.,11,2 years ago,
18,"Dari video ini, penjualan redmi note 9 bakalan ga nganu. Ya gmna, GadgedIn emg uda jd acuan di Indo. Tp salud, David prnah bilang kalo dia ttep bakal objektif demi penonton, meskipun di endorse pun akan ttp jujur dan objektif.
Bravo.",38,2 years ago,
19,Kalo tangguhnya jelas tetep yg reno9pro (snapdragon) lah.. tapi kalo diperjalanan waktu reno 9 biasa (mediatek) tidak ada masalah.. kayaknya versi yg biasa ini yg akan diberi update an lebih banyak dari xiaomi...Kalo buat dipake harian.. game2 aja reno9 gpp lah.... tp kalo bagi yg suka ngoprek2 ngeflash2 gonta ganti rom mediatek tetep mengkhawatirkan,3,2 years ago,
20,"Akhirnya gua lebih pilih Realme Narzo ketimbang RN9. Beberapa alasan besar karena bisa rekam 4K Video, dan karena mau nyobain hp yang punya refresh rate 90 Hz juga haha.",1,2 years ago,
21,Setelah sy unboxing redmi not 9 memang luar biasa....semoga lebih berkembang lagi redmi2 selanjutnya mantab,1,1 year ago,
22,"Ga jadi nyesel beli redmi note 8, lebih pas aja ditangan dan juga lebih kerasa premium, mantap lah",9,2 years ago,
23,"Alhamdulillah bsa nonton pake redmi not 9.puas bgt bwt aktivitas krja 6/128 udh lega bgt dan gk harus data lg krn memori kepenuhan he... Kamera video jg bagus, speakernya padet kenceng meskipun hanya speaker 1 tp udh enak suaranya. Bwt yg blm punya semoga bsa ksampaian.saya rekomen HP ini bwt yg aktivitas krja bth save data bnyk, bwt yg suka jualan online. Bwt saya pribadi kmaren pas mau beli sbnrnya cukup redmi not 10 budgetnya tp yg 4/64.saya pilih renot 9 6/128 krn lega bgt dan harga berimbang dgn not 10 4/64",8,1 year ago,
24,"Waktu tau Redmi note 9 pakai Mediatek G85, udah kepikiran kalau soal chipset pasti tdk stabil. Di banding Redmi note 8. Skip note 9, nunggu Redmi 10x yg pakai Mediatek Dimensity 820 yg stabil. Stabil dari sisi performa.",5,2 years ago,
25,"Sebenarnya xiaomi mengeluarkan redmi note 9 untuk pasar low end, bukan midle end, secara harga redmi note 9 variasi 4/64 Rp. 2,2 juta.Secara keseluruhan redmi note 9 ponsel jawara di kelas low end, bukan midle end.
Untuk kelas midle end ada xiaomi redmi note 9 pro, resmi note 9 pro max atau redmi note 9s, ( redmi note 8 pro ) dengan chipset MTK G90T / G95 atau snapdragon 720G.",26,2 years ago (edited),
26,"Dari segi fungsi dan design kalah banget sama note 8 ga ada tertariknya si sama note 9 , padahal pas keluar note 7 pengen banget beli dari goibnya pas muncul note 8 makin oke langsung nyari"" dan dapet harga retail , sekarang liat note 9 malah menurun..",6,2 years ago,
27,"Saya lebih pilih redmi note 8 karena :- Layar lebih terang, silakan cek di gsmarena, redmi note 9 bener2 parah karena cuma 300an nits, redmi note 8 dan 8 pro aja bisa 600 nits mentok.- Redmi Note 8 pakai snapdragon, kalau dibilang urusan panas ya bukan jg, tp gak stabil aja, saya pake Renote 8 Pro main smooth extreme gak stabil fps nya, kdg2 abis terima tlp main game lg udah lag aja.- Kamera bagusan di note 8, bisa liat di web2 luar, note 8 pakai samsung GM2 48MP, ini malah pakai GM1, dynamic range bagusan note 8, malah gw bandingin sendiri note 8 ama note 8 pro, dynamic range bagusan note 8 biasa jauh, tp kalau di zoom detail lebih dpt note 8 pro.- Redmi Note 8 bodynya kaca, gak jamuran lah yawMasih banyak lg sih pertimbangannya.
Kalau mau ambil mening sekalian Note 9 Pro.",0,2 years ago (edited),
28,"Redmi Note 8 tetep unggul soal body elegan,",1,2 years ago,
29,"Kalau menurut ku semua hp itu bagus,jadi saking banyaknya hp yang bagus kita sampai bingungDan itu semua tergantung selera, budget,dan penggunaan.",20,2 years ago,
30,Bukan karna pengen cari referensi hp hp terbaru dari bang David because karna gua kangen aja pengen liat video unboxing ..gua juga termasuk org yg hytech banget,3,2 years ago,
31,"Chipset G85 ini diprioritaskan untuk hemat daya, kalo G70 lebih diprioritaskan ke performa.G70: 4 Core A75 & 4 Core A55G85: 2 Core A75 & 6 Core A55",4,2 years ago (edited),
32,"Reviewnya jujur, sesuai gak ada mendukung suatu merk, mantap bg",1,1 year ago,
33,"Statement terakhir bg david "" HP bagus (reno 8 pro), artinya makin murah."". Komen saya : gak akan turun harganya setelah seller nonton video ini bg.. ...btw saya salah satu pengguna yg lebih memilih reno 8 4/64 harga 2.150, dibanding beli reno 9 4/64 yg harganya 2,5an.. Baru aja 3 mingguan beli reno 8 biasa.. hehe",10,2 years ago,
34,REDMI NOTE 9JARINGAN : 4GCHIPSET : HELIO G85 ( 12 NM )LAYAR : 6.53 IPS LCD FHD+BATERAI : 5020 MAHCHARGER : 18 WAT TYPE CKAMERA : 48 MPSPEAKER : NO STEREONFC : NORAM DAN HARGA4/64 : 2 JUTA6/128 : 2.4 JUTA,18,1 year ago,
35,sepertinya bukan redmi note 9nya yg jelek tapi redmi note 8 series yg udah terlalu mantep wkwkwk,3.4K,2 years ago,
36,Awalnya sempet nyesel beli reno 8 pro 3 hari sebelum launching reno 9. Pas liat review2 nya. Alhamdulillah tenang,3,2 years ago,
37,"Syukurlah berkat video ini saya gak nyesel sama sekali beli rednote 8 pro, soalnya saya baru beli note 8 pro seminggu kemudian note 9 series launching",3,2 years ago,
38,Bang David tolong Review redmi note 9 setelah update MIUI 12 biar tau apa kekurangan dan kelebihanya,8,2 years ago,
39,Dari awal renot 9/9pro rilis. Entah kenapa masih tetep jatuh hati sama renot 8/8 pro :'),1,2 years ago (edited),
40,Saya nonton ini pake xiaomi redmi note 9. Menurut saya ini hp stabil  kok buat merekam. Apa lagi MIUI 12 nya makin stabil mantap deh ini hp,1,2 years ago,
41,"aku kok suka banget ya sm review dr kak david ini , enak aja gt dngernya adem , trus jelasinnya tu detile gitu. sukaaaaaa ... sukses selalu kak david ,aku jd bisa faham tntg kurng dn lebihnya dari merk hp, jd bs mikir dn pilih2 utk beli yang mana . makasihh kak David",5,2 years ago,
42,Saya sebenarnya ngarep kalau AMD cepet2 ngeluarin chipset smartphone dan cepet2 nyingkirin mediatek. Kaya cara mereka ngacak2 chipset laptop/komputer. Semurah murah nya AMD performanya ngacir. Malah kualitas kamera buriknya laptop2 bisa jadi HD banget.,1,2 years ago,
43,"Mungkin karena chipset baru makanya sering drop fps,kalo udah di update mungkin beda",2,2 years ago,
44,Alhamdulillah 3 bulan yang lalu nntn review ini skrg udh kebeli tanpa nyicil  semoga yg blm kebeli cepet kebeli yaw,92,2 years ago,
45,"Internal 128GB itu yg mengiurkan
Soalnya saya pribadi pengen nyoba2 game mobile aja.  Gk terlalu ngurusin apa itu frame rate, grafik, dsb, karena saya gk ngerti.  Asal mata saya enak ngeliatnya, it's ok.  Sampe saat ini saya masih pake Redmi Note 5A (3/32) yang bikin repot kalo mau nyoba game, harus uninstall yg ada dulu, wkw
Terima kasih atas review-nya, Bang",3,2 years ago,
46,"Coba di review ulang setelah update miui 12 , soalnya dr kemren2 redmi nya pake snapdragon  , ini mediatek ada embel2 G nya, kali aja tuh masih banyak bug  , biasalah miui",3,2 years ago,
47,"Up.Kerasa banget beda nya, dri MIUI 11 pas awal beli, sampe dapet update ke MIUI 12 setelah 3/5harian setelah beli. Skarang makin mantebReview ulang please bang",9,2 years ago,
48,"Setelah kehilangan redmi note 7, trus bingung mau beli yg Reno 8 / reno9. Nonton sana sini sana sini sampai bingung. Akhirnya milih  reno9.Dan I feel better setelah pake reno9. Dari segi layar aku suka karna lebih panjang. Batrai lebih tahan lama. Galeri  yg sudah kehapus ada system simpan sampai 30 harinya. Kameranya jangan salah. Lebih dari Reno 7 yang aku pake dulu. Dan recommended banget. Serius. Udah 10 hari gue makenya.",0,2 years ago,
49,alhamdulillah udah pake redmi note 10  semoga yg nonton video ini bisa kebeli hp yg kalian inginkan,11,1 year ago (edited),
50,alhamdulillah si ni hp udah 5x lebih nyelam air masih ttp idup,1,2 months ago,
51,"Akhirnya yg di tunggu"" di review juga mantap bang david",13,2 years ago,
52,"gue baru beli Redmi Note 8 pro sebulan yang lalu. Pas iklan redmi note 9 keluar, gue sedih banget. Tapi pas liat David nge Review Redmi Note 9 dan Redmi Note 8 Pro. Gue jadi percaya diri pake Redmi Note 8 Pro",1,2 years ago,
53,"Nonton Review Redmi Note 9 pake Redmi Note 9 juga yg forest green.Udah pake ini semingguan sebelum ada review ini tapi ga masalah kok,Karena saya sebelumnya pengguna hp yg udah hampir 3 tahun ga ganti hp,emang kerasa banget bongsornya dari saya yg sebelumnya cuma pake HP 5 inch,ya paling kurang LED notif aja yg berasa",2,2 years ago,
54,"Akhirnya aku bisa bikin video youtube dengan HP redmi not9..Terimakasih bang da David atas informasinya tentang ponsel terbaru.Saya sering banget nonton video bang David, sukses selallu",10,2 years ago,
55,"Setiap mau beli hp , pasti nonton chanel ini ,dan akhirnya bingung mau beli yang mana",3,2 years ago,
56,setelah update redmi not9 top markotop kgak ada keluhan enak apalagi buat gaming skarang udah lancar jaya,1,2 years ago,
57,"Saya user Redmi 5a yang pindah ke Redmi Note 9, pendapat saya sih bener layarnya kegedean apalagi saya dulu pake Redmi 5a yang layarnya kecil. Buat main game kadang juga masih drop fps nya walaupun sebentar doang buat kamera ya standar aja lah bagus,dan buat batre ini gede dan awet banget, buat charge nya cukup 2 jam aja pake charge an bawaanya.
Ya udah gitu aja.",221,2 years ago,
58,"Kemaren bimbang mau beli note 8/9, habis di pikirin lagi akhirnya ambil note 9, kamera lebih ok, design lebih baru, chipset juga baru, terus masalah frame rate yg suka turun di game udah di fix di miui12, masalah body belakang yg masih plastik sih ga masalah banget soalnya udah lama make yg bahan belakangnya plastik. Udah gitu doang",3,2 years ago,
59,"2 bulan lalu nonton reviewnya di sini, sekarang nonton ulang pake rn9",5,2 years ago,
60,Klo buat hasil kamera bagusan mana min..Oppo a53 vs Samsung a21s?,5,2 years ago,
61,Andainya pake Helio G90T bakalan lebih menarik lagi. Kalo ini gak kerasa update nya dibanding pendahulu.,0,2 years ago,
62,"Masih pake redmi note 4 dan belum ada keluhan, padahal udh 1x masuk bak mandi, 1x masuk kloset, dan jatuh kebanting, ga tau kenapa bandel banget si note4",0,2 years ago,
63,"Harusnya seri hp Compact itu ada di setiap brand, semisal pd redmi/XiaomiRedmi seri A & seri yg bkn notemi/redmi size ny jgn dibikin bongsor,Ini mah semua gak nanggung2,redmi 8/8a aja kegedean sekarang redmi 9/9a 6,53"" ...,gila emang!!
Gw suka bngt tuh size dan dimensi dari redmi5/6/6a/7/7a(tp 7a ketebelan) trs mi A3,kesini ny?? Wahh parahh!!",6,2 years ago (edited),
64,Dari disean redmi yg seri not mungkin yg paling sempurna ada di redmi not 8. Fil gegamnya mantap tampilan mewa karena memakai gorila glass 5 depan belakang,0,2 years ago,
65,"Semoga bang david tetep netral seperti ini,review ap adanya biar kami kami ini tidak salah",3,2 years ago,
66,menurut saya beli samsung m21 aja dengan spek yang lebih kenceng sedikit dan batre yang lebih besar dan kamera juga lumayan.,1,2 years ago,
67,"Kemarin gwe COD tt redmi note 8 sama note 9, suruh tambah 350, tp untungnya gx jadi krn katanya redmi note 8ku layarnya ada garis putih, pas gwe cek lg, ternyata masalah aplikasinya bukan layarnya, bersyukur aja dh gx jadi, krn kesan pertama gwe pegang redmi note 9 kok gede banget, terlalu lebar bodynya, kamera depan jg tompelnya gede jd kurang enak dilihat, coba kalau bodynya segede renote 8 tp agak memanjang dikit biar kesannya gx kegedean, kamera depan jg di kecilin bentuknya biar lbh enak dipandang,",0,2 years ago,
68,Gadgetin lebih kritis dari biasanya... Lanjutkan!!,0,2 years ago,
69,setelah update miui 12.0.4..mantep bener nih hp,1,2 years ago,
70,"Nunda beli hape cuma gara2 nungguin review bang david yang ini, gajadi nyesel deh  :')",11,2 years ago,
