,Comment,Likes,Time,user
71,"Absen Sya Redmi Note 9S varian 6/128 ,chipset Snapdragon 720G bkn medietek G85 yalayar note 9s layarnya 6.67 inc ,muantap enak banget ,buat ngegame smooth ,batery nya susah mau habis ,ngecharge juga cepat ,score antutu redmi note 9s 277k ,beda banget sama note 9 mediatek 197k",1,2 years ago (edited),
72,"Berasa setengah hati Xiaomi dalam membuat spesifikasi untuk line up Redmi Note, atau karna ada Redmi Note Pro jadinya yang seri reguler tu dianak tirikan? Hmm, harusnya seri orisinil nya ini tetep dipertahankan (maunya, tapi apalah daya..)",0,2 years ago,
73,Aku dulu dari 5a terus note 5 terus note 7 sekarang mau otw note 9,2,1 year ago,
74,Alhamdulillah September 2020 sdh bisa kebeli Note 9 6/128 buat jadi daily driver nya bokap. Semoga awet dan ga banyak keanehan² yg terjadi (karena ini kali pertama pakai Xiaomi)...,3,2 years ago,
75,"untuk semua HP, cuma Xiaomi juaranya utk di urusan per selfiean dan cameranya.....padahal Xiaomi ini gak pernah beriklan di TV tapi lakunya bukan main.....jujur sih pendapat gw aja....coba Xiaomi buka endorse an ke gw sini hahahahaha",0,1 year ago (edited),
76,"Aku udah beli yang redmi note 9, awal launching langsung ikutan PO di akulaku. Setelah liat Vidio ini ga nyesel sama sekali. Karena q emg udah ada niatan ganti HP. Dr seminggu pemakaian pun q puas bgt. Soalnya HP lama q redmi note 4, jauh banget performa nya sama note 9 ini. Kenapa ga yg note 8 pro? Masih jauh harganya menurutku, yg Deket harganya itu yg 8/126 aku beli yg 4/64 aja sesuai kebutuhan, segitu jg udah cukup soalnya reno 4 q dulu cm 3/32.
Btw yg udah beli jgn menyesal cuma gegara review nya bang david, syukuri aja yg kita punya, diluar sana masih bnyk org yg HP nya jauh di bawah kita.",8,2 years ago,
77,"Style review jujur gini bgus hahah, jgn sakit hati guys job kita emang berikan honest review kek gini",0,2 years ago (edited),
78,"Bang kalo soal performa kan Helio-G85 itu chipset baru,banyak game android yang belom diptimalin bang kalo nanti udh diupdate sama developernya udh optimal bang",0,2 years ago,
79,Setuju bang gua suka hp yang Compact,0,2 years ago,
80,"Barusan dapet update an ke MIUI 12. Semua terbenahi, game makin lancar ga patah"". Jadi Xiaomi berhasil mbenahin kekurangan mreka yg kemaren"" dgn Update software. SELAMAT MENGGUNAKAN",2,2 years ago,
81,Xiaomi redmi note 9 apakah udh pake fitur smart protection/smart charging? Jd biar aman ngecas semalaman,0,1 year ago,
82,"bang bikinin konten review list hp compact yg recommended dong di tahun 2020 ini, butuh bnyk informasi nih buat kaum compact haha",6,2 years ago,
83,"Mohon kasih sarannya gan,kira2 worth it beli samsung a51 atau note 9 pro ya,ada yg bilang a51 cepet panas,ada yg bilang nge lag saat main game,tapi unggulnya di kamera dan layarnya dan saya suka,tapi perfomance nya memang kurang sih,jadi kira2 yg mana ya yg worth it,pengguna note 9 pro kasih experience nya dong saat pakai redmi note 9 bro,kira2 layarnya sama kameranya bagus nggak?
Oh ya kalo redmi note 9 pro,di ujung layar nya responsif gak saat main real drum,soalnya ada hp yg gak responsif di ujung layarnya pas saya pencet drumnya 3 kali malah 1 kali bunyinya",2,2 years ago,
84,"Mungkin klo untuk orang yg nyari body,layar,batre gede si ya redmi note 9 boleh jadi recommend di kelas 2 JT an, klo untuk spek emang turun banget wkwkwk",0,2 years ago,
85,Alhamdulillah udah kebeli semoga yang lain bisa nyusul beli hehe,2,2 years ago,
86,Beli RN 8 pas launching RN 9. Nunggu dikit karena masih mau bandingin mending mana. Dan ternyata pilihanku tepat wkwkwk,0,2 years ago,
87,"Gua malah milih 8 series biasa daripada 9, lebih oke si menurut gua",2,2 years ago,
88,"Cipset ok nih hp tapi ui nya belom optimal , gua pengguna realme c3 karna realme ui optimal banget jadi enakan aja pake HelioG70 nya, xiaomi jarang fix bug ui soalnya",10,2 years ago,
89,Mungkin speknya turn kasta tapi yg jadi deal itu tompel di kiri atas layar itu bagi sebagian orang mantap kali,0,2 years ago,
90,"bang mungkin bisa bikin konten, bandingin dengan peralatan elektronik yg dari miniso, seperti speaker, earphone dll",1,2 years ago,
91,"Di website resminya di jual 1,099.000",0,2 years ago,
92,"bang, dari segi kelebaran, apakah lebar note 9 ini dan versi pro nya sama ? karna saya suka hp lebar..soalnya klo saya liat sekilas kek lebar note 9 ini",0,2 years ago,
93,"Alhamdulillah sudah kebeli bang, memuaskan untuk Miui 12",1,2 years ago,
94,"Kasih rekomendasi hp compact yang layarnya ga terlalu gede. Dimulai dari harga terendah smpe tinggi.
.",4,2 years ago,
95,"Chipste g85 tu chip baru,jadi buat developer game belum punya settingan yang pas,kalo dah update bakal ajib ni hp",3,2 years ago,
96,"Menurutku sih krn chipsetny masih baru,jdi butuh update software untuk meningkatkan atau mengoptimalkan performanya,jdi santai ae",0,2 years ago,
97,Dulu beli Baru 2.500 sekarang beli second nominus fullset cuma 1400,1,2 months ago,
98,"Vivo Y30i Sama Note 9 biasa lebih kece mana , bagus mana kira² boleh minta prediksinya bang :)",0,2 years ago,
99,Renot 9 di up miui 12 udah mantep kok sekarang,5,2 years ago,
100,"Wkwkwk gw seneng penutupan akhir nya, semakin banyak hp baru yg keluar semakin murah harga hp yg sebelum nya  padahal dari spek masih bagusan redmi note 8 pro",23,2 years ago,
101,"Mantap,ripiu jujur,kelebihan dan kekurangan disebutin seperti biasa,jadi G85 dan G70 itu bagai snap 665 dan 660,beda tipis banget,dan kirain body blakangnya kaca,eh ternyata plastik wkwkwk",1,2 years ago,
102,"Selamat siang bang David
Saya sudah menggunakan hape Redno 9 ini sejak tanggal 19 atau penjualan pertama disini selama hampir seminggu menggunakan ini hape saya tidak merasakan kekurangan yang bang David utarakan bagi saya masalah disain itu selera saya justru malah suka disain seperti ini karena jarang yang berani berbeda seperti ini, masalah body plastik malah keuntungan bagi saya karena saya sering jatuh secara tidak sengaja, apalagi saya juga tak pakein case terus jadi gak masalah sih.
Untuk performa ya saya bukan gamer yang serius hanya sebagai hiburan saya mentok main PES Mobile sama Club Manager saja kalo misalnya mau serius bagi saya aman gak ada kendala sih cukup lah bagi saya, PES Club manager yang terkenal berat bahkan hape teman saya Redmi 8 mode 2d sampai gak kuat, disini mode 3d bisa dihandle dengan baik meskipun saya belum cek settingan defaultnya tapi bagi saya sudah cukup.
Saya yang menggunakan hape ini untuk kuliah online dimana kadang dosen suka ngambil kuliah di jam yang tidak terduga hape ini bener bener nolong karena batre nya yang 5000mah penggunaan saya bisa tembus 12 jam socmed sambil game dikit, untuk urusan copy paste artikel, edit makalah jurnal di WPS hape ini betul betul bisa menghandle dengan baik tanpa ada lag terutama pada saat copy artikel yang panjang mungkin terbantu dengan ram 6GB serta chipset G85 yang cocok dan  capable untuk multitasking.
Kekurangan yang saya rasakan hanyalah perekaman yang masih 30 fps saja dan saya berharap banget ada update disini, soalnya saya pernah dapat di Redmi Note 4x meksipun hilang lagi.
Mungkin kalo untuk nyari untuk gamer serius atau benar benar all round game dan sebagainya di harga yang sama Redmi Note 8 Pro pilihan yang tepat untuk budget 3 juta pas tapi kalo untuk kuliah online dan memiliki multitasking yang tinggi serta membutuhkan daya tahan batre yang lama karena dosen selalu memberi jadwal di luar dugaan Redmi Note 9 ini pilihan yang tepat bedasarkan penggunaan saya yang lebih multitasking, game ringan dan kamera.
Sekian ulasan saya bang DavidTerimakasih.",3,2 years ago,
103,Alhamdulillah udah kebeli note 9 . Bagus2 aja sih. Tinggal selera masing²,13,2 years ago,
104,"Mitos Kalau Redmi seri ganjil pasti bagus dan bikin orang berdetak kagum.Tapi tidak dengan berlaku di Redmi Note 9Sebagai User Redmi Note 8,mending upgrade ke Redmi Note 8 Pro aja deh.",0,2 years ago,
105,"Baru beli tadi ni HP kok liat review kayak gini bikin nyesek, tp Alhamdulillah saya suka kok ma HPnya, ngumpulin uang 6 bulan baru bisa kebeli ni HP. dalam hati bilang, "" GAK NGURUS REVIEWMU, YG PENTING GUE SENENG DAH KEBELI HP IMPIAN""",9,2 years ago,
106,"Allhamdulilah nntonnya pake Note 9, syukiri aja pakennya, krna d luar sana bnyak yg pngen beli HPDan stiap HP mempunyai kelebihan dan kekurangan masing²",10,2 years ago (edited),
107,buat channel ini moga jaya di semua lini!!️salam dari jatim bang,1,2 years ago,
108,"Bang bikin review setup kaya meja di belakang itu dong. Sama hiasan hiasannya, pencahayaan, dll biar keliatan estetik",0,2 years ago,
109,Masih pake redmi 4aTapi salut buat redmi 4a udah 4 tahun saya pke msh bagus komponennyaCuman teknologinya aja yang ktinggalan,1,2 years ago (edited),
110,Saya sempet galau beli note 9 atau 8..akhirnya mantepin diri beli note 9.. Bagusssss.. Design bagus.. Daleman juga baguss kok... Pake maen ML oke bgt.. Camera okee bagus.. Ga beda jauh juga dr note 8.. Oke bgttt...,0,2 years ago,
111,Alhamdulillah bisa kebeli renot 9 pas kmrn 4/64 pnya duit 1.7jt gas lngsg beli tp di tambahin lg sm emak 600k ya bersyukur walaupun dpt 4/64 klo yg 6/128 emg gk ada duit lg buat nambahin,5,2 years ago,
112,"Thanks bang akhirnya bisa mantepin pilihan gara"" vidio ini,  soalnya sempet bingung pilih note 9 atau note 8pro. Akhirnya kejawab",0,2 years ago,
113,Saran : lebih cocok pake smartwatch (band),0,2 years ago,
114,"Bismillah bulan depan bisa kebeli
Semangat nabung terusss:)",15,2 years ago,
115,Android 9 vs android 10 saat pertama launching di HP tsb siapa yang hidupnya paling lama dan dapet update diakhir hayatnya?,0,2 years ago,
116,"Coba bang update ke MIUI 12, ada perbedaan apa ga",0,2 years ago,
117,"Kalo samsung bangkitin lagi smartphone yg body nya kek s7 edge, mungkin bagus:""",8,2 years ago,
118,Dri kemaren² nunggu notif review dri hp ini akhirnya muncull jugaaaaa><,2,2 years ago,
119,Semoga Mtk g85 secepatnya di update. Mungkin karena masih baru jadi kurang maksimal !,1,2 years ago,
120,Mohon info yg tau. Kalau antara redmi note 9 dan redmi 9 yg soundnya lebih bagus yg mana yah? Ada yg bilang versi note ada yg sebaliknya,1,2 years ago,
121,Mungkin chipsetnya belum kompetibel kali karena chipset baru jadi ada rada rada nge lag saat main game,0,2 years ago (edited),
122,bikin perbandingan note 9 vs note 10 dong,0,2 years ago,
123,"Alhamdulillah saya bru bli note 8 uwaw bged tdinya mau beli yg note 9 stelah di survei satu"" Sy lbh milih note 8 variant blue",15,2 years ago,
124,Entah mengapa gua lebih suka main mobile legend di redmi note 8 walaupun gak ada HFR tapi main nya mulus asal jaringannya bagus sedangkan redmi note 9 walaupun ada hfr tapi suka gak stabil fps nya,0,2 years ago (edited),
125,4:49 akhirnya bang david ngasih tau penjelasan yang lebih simpel,1,2 years ago,
126,Tiap hari nonton ini pake Xiaomi note 4x sekarang udah pake note 9,1,1 year ago,
127,"Bang David, kenapa ya ga pernah unboxing/review hp² Infinix? Kan garansi resmi dan spek yg ditawarin juga lumayan bagus deh
Up",1,2 years ago,
128,bagusan mana sama Mi 8 lite ?,1,2 years ago,
129,"Redmi note 9 : ""i'am the next king!""
Redmi note 8 : ""Rene le, tak tapok cangkem mu""",367,2 years ago (edited),
130,"Ini mungkin kejadianya sama ya kek Note 5 amaa note 6 pro trus sehabis itu note 7 pun muncul dengan kualitas yang gk ngotak dengan harga murah mungkin ini trik xiaomi buat bikin HP yang populer lagi Note 8kan bagus banget nah trus di note 9 ini ngecewain dan akhirnya nanti seri selanjutnya bakalan bikin heboh mungkin note 10 nanti kasus ini sama kek note 7 yang bener bener gila populernya
Klo masih yang belum ngerti gini nih:Note 5       : recomendedNote 6 Pro: Gk rekomended aliasngecewainNote 7      : Super duper recomendedNote 8      : tetep rekomendedNote 9      : kurangrekomended NgecewainNote 10 nanti mungkin bakalan super duper rekomended kayak si note 7 kejadiannya
Gini sih kurang lebih  Thanks semoga membantu",1,2 years ago,
131,Suka kejujuran reviewnya bang,1,2 years ago,
132,"Kalo bandingin sama renote 8pro ya pasti 8pro lah soalnya beda jauh harganya 8pro(2,9+) renote 9(2,2/3+)",3,2 years ago,
133,"00:49
Proof that David is in the same level of Linus in segways to sponsorship lol",0,2 years ago,
134,"Aku pakai hp mulai  dari redmi 2 sekarang redmi Note 5A pengen ganti yang ini, tapi masih kalah sama kebutuhan hehehh",1,2 years ago,
135,"Samsung Note=Dikasih pen.Redmi Note=No pen.Seriously.
Apa yang ada di pikiran Lei Jun?..Atau Lu Weibing?Menurut saya..Apa salahnya Xiaomi menghadirkan sosok ""Pen"" di Dalam Hapenya. ya kan?Xiaomi Sudah Mencoba Membuat banyak produk yang digunakan Sehari-hari. dan itu banyak peminatnya.Tetapi...Menurut saya Kenawhy Xiaomi tidak membuat sosok ""Stylus Pen"" di hapenya.Itu menurut saya hal yang harusnya ada Di salah satu Hape xiaomi entah Di Redmi Series Atau Mi series.",28,2 years ago,
136,"kalau menurut gue gini sih, bang, kayaknya G85 itu masih banyak belum dapet optimisasi yang bagus, belum banyak kompatibel sama gameHape adek gue Realme C3, tiap hari dibawa main CODM, yang pas awal beli cuma bisa graphic rendah, dan framerate rendah, tapi baru kemarin-kemarin update dan dapet peningkatan di setting jadi Graphic Mediumya G70 aja stabil banget sih, jarang banget gue liat ada framedrop pas main, tapi kok G85 begini begitu ya",1,2 years ago,
137,"oke mana sempat keburu telat, heem udah terlanjur beli renote9 pdhl waktu itu galau bgt bandingin sm renote8 gak pake pro. gapapa, disyukuri aja. rejeki bisa ganti hp/upgrade hp dr hp kentang sebelumnya",0,2 years ago (edited),
138,Ditahun 2023 redmi not 9 sama infinix hot 11 play bagusan mana?,0,1 month ago,
139,Kamera bandingin note 8 pro bagusan mana bang?,0,2 years ago,
140,"Make note 6 pro langsung ngacir ke Note 9,ternyata Joss gandhoss juga speknya..",0,2 years ago,
141,"Alhamdulillah, nonton bg david udah pakai redmi note 9. Wlaupun butuh perjuangan jg beli nya.. Barang nya di medan ghoib",6,2 years ago,
142,"setelah menonton ini, saya gak nyesel beli Reno 8 seminggu sebelum Reno9 launching muehehe",0,2 years ago (edited),
143,"puji Tuhan sudah kebeli redmi note 9. overall bagus sih, krn udah up MIUI 12. semoga yg pengen punya juga bisa kebeli.",2,2 years ago (edited),
144,Ada Support Stabilizer Video Sama Night Mode Gak Mas,1,2 years ago,
145,Udah paling keren pembawaan nya bang David mah,0,2 years ago,
146,pekerjaan saya harus stand by 24 jam medsos dan kamera untuk foto hasil  lab dan rontgen. dan mungkin akan sering digunakan untuk seminar via  zoom dan google meet. kira2 hp android yang mendukung pekerjaan saya redmi note 8 atau redmi note 9 ya? galau banget milihnya antara renot 8 atau renot 9 :D,2,2 years ago,
147,nonton redmi 9 setelah dapet realme narzo gara² nonton video bang david,5,2 years ago,
148,Bang di next vidio barang barang gajelas tolong riview gamepad bluetooth tapi bukan bawaan dari hp hp gaming biasanya.saya penasaran apakah work gamepadnya dan apakah emang bisa di pakai semua hp?tolong ya bang.,1,2 years ago,
149,"Namanya juga dapid, apapun konten nya kalo ada endorse an bisa banget ganti topik pembicaraannya dan enak juga didenger",0,2 years ago,
150,Kyaknya lebih suka note 8 dari pada yg note 9,0,2 years ago,
151,Bang David Decor ruangannya koq bagus bisa dong bagi² pengalaman decornya :),0,2 years ago,
152,Mending mana note 8 pro atau note 9 biasa? (kamera),0,2 years ago (edited),
153,"Note 9 gx jelek kok cuma note 8 nya yg gebangeten mantep n merata  bagi yg punya note 8 udah puasin aja sampe note 12 besok muncul
Yg punya note 8 ayo absen",7,2 years ago,
154,Nih hp buat cuma streaming medsos sama nonton netflix udah mantep fhd+ layar gede.,9,2 years ago,
155,Bagusan poco x3pro karna kalau main di redmi note 9 agak patah patah dan ms nya turun,1,1 year ago,
156,Setelah update MIUI 12 kalo main pubg ato game lainnya gausah hide notch udah lancar jaya,1,2 years ago,
157,Bagus mana mas.. samsung a8 2018 sama redmi not 9.. menurut mas dafit,1,1 year ago,
158,"Keren bos reviewnya, jelas banget. Jempol dah",9,2 years ago,
159,G85 VS G90 bagusan mana sih kaloDi Versusin redmi note 9 ama redmi note 8,0,2 years ago,
160,"Gua pake yang pro, bagus, tapi kalo batere udah 10% kalo main game fps ngedrop yang tadi 50-60an jadi 25-38an",1,2 years ago,
161,"Setelah 8 bulan pemakaian mulai kerasa patah2 keset2 gituh apalagi pake main game, habis direset masih sma ajh, masih enakan pake snapdragon 400an dihp lama ku...Yg belum beli mending beli renot 8 sih kalau pendapat gw",1,2 years ago,
162,"1:47 Iya bener, standar Bang David kalo menilai Xiaomi or Redmi beda sama standar kalo menilai brand lain... Betul gak?",3,2 years ago (edited),
163,Guys menurut kalian pilih yang mana antara Realme 5i atau Redmi note 9?Kebutuhan untuk main game sambil record.,8,2 years ago,
164,Atyse: ok next redmi note 10  We will enter David's suggestions and opinionsDavid:  it's good,22,2 years ago,
165,"Saran dan info dong temen2 gadged
Dana 4,3 mending beli hp apa ya bro kira2? Buat aktftas biasa sosmed, game PES2020,game asphlat, camera ptg gak ptg si’ klau ada yg kumplit bagus syukur kalau camera standart ya gpp. Apa ya???Pingin si note 9 pro 8/128 rekomend gak itu atau ada yg lain? Please infonya",0,2 years ago,
166,"3:53,  Oke, ini bagian yang bikin gak bingung buat milih Reno 9 (dari chipset)",1,2 years ago,
167,Alhamdulillah udah beli.. Karna udah sering nonton,1,2 years ago,
168,"2:36 Setuju banget. Jangan sampe layar 6,3 inc kebawah punah. Lagi cari Punch Hole layar bawah 6,3 inc soalnya, wkk",0,2 years ago,
