,Comment,Likes,Time,user
169,"Saya bersyukur banget bisa beli hp redmi note 9 , soal nya saya mau ganti hp saya yaitu iphone 6 yang udah 4 tahun saya pakai , Saran aja : buat kalian yang mau beli hp yang kalian pengen dari dulu kalian harus rajin menabung uang kalian..",0,2 years ago,
170,"mungkin ini yang di bilang orang BIKINNYA GAMPANG MEMPERTAHANKANNYA YANG SUSAH, REDMI NOTE 7-8 dah bagus, REDMI NOTE 9 Agak jatuh",15,2 years ago,
171,"Layar gede kalau buat game dan nonton sih enak, kalau buat daily user biasa rada kurang nyaman, rada kegedean aja gitu.",0,2 years ago,
172,menunggu redmi keluaran baru yang refresh rate 90hz,0,2 years ago,
173,"Alhamdulillah udah kebeli redmi note 9, semoga yang pengen beli cepet kebeli juga",0,2 years ago,
174,"Update ulang dong bang setelah MIUI 12,banyak banget berubahnya hampir 180 drajat setelah di-update,pokoknya the best yang sekarang",4,2 years ago,
175,"Alhmdllah bersyukur udh beli hp ini dgn wrna yg sama juga, smoga aja kalian yg mau beli hp bsa cepet terkabul ya aamiin",10,2 years ago,
176,"Menunggu Redmi 10X 5G dan Pro 5Gnya dng mediatek, pesaing huawei nova 5T yg midrange rasa flagship",4,2 years ago,
177,INTINYA KALO CHIPSET KENCENG  PASTI BUAT GAMING KENCENG JADI LAYAR HARUS GEDE KALO CHIPSET NYA LEMOT  JELEK BUAT GAMING JADI HARUS  LAYARNYA KECIL,1,2 years ago,
178,"Buat yg suka foto² malam hari bagusan mana bang, kea untuk dokumentasi gtuu? Camera note 8atau 9??",0,2 years ago,
179,"Akhirnya kebeli hp baru redmi note 9, selama ini pke redmi note 3 wkwkw semoga klian semua dilimpahkan berkat ya",4,2 years ago (edited),
180,"Gua dah pake ni HP dah 1bulan emang sih sering patah"" Kalo maen game, tapi setelah update ke miui12 kemaren yahh jadi lumayan bagus sih lag nya kurang ,. Hp ini tidak terlalu mengecewakan sihhh",0,2 years ago (edited),
181,Akhirnya gua dapat redmi note 9,1,2 years ago,
182,"menang si narzo, OS juga lebih clean gk banyak iklan, raja performance/price udah pindah ke realme skrg. kompetisi yg menarik.",5,2 years ago,
183,"Saya baru upgrade dari note 5 ke note 9, saya rasa kualitas kamera nya malah menurun, note 5 kestabilan video nya sangat wah, dan warna fotonya lebih natural, yaa udah kadung kebeli disyukuri aja",2,2 years ago,
184,Bang mau nanya speaker redmi 9 dan redmi note 9 lebih kenceng dan ngebas mana?,0,1 year ago,
185,Alhamdulillah sekarang nonton bisa pakek HP redmi note 9,0,2 years ago,
186,monitor di belakang merk dan tipenya apa bang?,0,2 years ago,
187,Bagusan mana Sama Poco M3 sama Redmi not 9?,1,2 years ago,
188,"Saran buat pemillik redmi note 9 , dia bakal enak buat di ajak game. Dengan cara tidak menggunakan DARK MODE .. Non aktifkan DARK MODE lalu restar hp. Trimakasih",11,2 years ago,
189,Mending not 8 apa 9 ya?Buat performanya di game?,0,2 years ago,
190,Jangan di skip lah membuat konten tidaklah semudah yang kau bayangkan Gaes....,2,2 years ago,
191,"Bang sekarang udah update MIUI 12, yg udah cocok untuk Helio g85 hehe",1,2 years ago,
192,Saya suka saat bang david lagi ngiklan,0,2 years ago,
193,kalau untuk stabil kayaknya lebih smooth redmi note 5 ya kak david,0,2 years ago,
194,"Alhamdulillah bisa kebeli yang note 9 4/64, ya walaupun cicil juga, drpd pake oddo ram 2/16, lelet amat",5,1 year ago,
195,Apa mungkin karna chipset baru ya? Jadi belum terlalu optimal... Tapi biasanya kan kalo ada chipset baru akan ada update2 yang bisa ngoptimalin itu hp.... Mungkin kah redmi note 9 akan stuck performa di itu2 aja ? Atau setelah update akan lebih baik?,3,2 years ago,
196,"Up.Kerasa banget beda nya, dri MIUI 11 pas awal beli, sampe dapet update ke MIUI 12 setelah 3/5harian setelah beli. Skarang makin mantebReview ulang please bang",0,2 years ago,
197,"Up.Kerasa banget beda nya, dri MIUI 11 pas awal beli, sampe dapet update ke MIUI 12 setelah 3/5harian setelah beli. Skarang makin mantebReview ulang please bang",6,2 years ago,
198,"Semoga terbaca dan di review ulang RN 9 nya di MIUI 12, karna beda banget sama pas di MIUI 11, emng gaada apa2nya",4,2 years ago,
199,..mending mana?....selalu jadi pertanyaan...lanjutttt bang david....musti di Versusin biar lebih gampang milih nya....,1,2 years ago (edited),
200,"Saya pemakai redmi note 9. Mungkin ini bug / bukan.Coba deh pas mau nge game, tampilan notch nya, setting dulu ""sembunyikan notch"" , jd jgn di setting full layar. Jamin fps lancar pol",0,2 years ago (edited),
201,"Alhamdulillah baru semingguan kebeli note 9, Semoga awet",0,1 year ago,
202,"Rekomended mana ya redmi note 9, redmi note 8 atau realme narzo? Mohon infonya",0,2 years ago,
203,Kamera belakangnya... GG gw demen banget sama kamerah kayak Xiaomi resmi note 9...... Hehe abetttt,1,2 years ago,
204,Alhamdulillah sekarang bisa komen pake hp renot 9 upgrade dari j1 mini to redmi note9,5,2 years ago (edited),
205,"Pengalaman gua pake ni HP buat pubg awalnya smooth tapi lama2 fps drop tapi aneh nya setiap buka game turbo jadi smooth lagi, jadi pas main pubg kalo udh drop fps selalu buka game turbo",0,2 years ago,
206,"Bang kalo rivew hp, pas di bagian display nya tambahin pembahasan tentang color gammut dong bang",0,2 years ago,
207,"Baru aja nyoba beli redmi 9 di klas 2 jutaan... Nyesel sih hehehe. Masih kalah jauh dibanding klas 2 jtan nya SAMSUNG. dari fitur LACI yg banyak kekurangan, kualitas kamera yang jauh dibanding SAMSUNG Dll",0,2 years ago,
208,Setelah update MIUI 12 jadi rekomendasi gk bang ?,3,2 years ago,
209,Xiaomi note 9 support wireless charging ga??,0,1 year ago,
210,"Saya masih pakai redmi 3 s pro, alhamdulillah masih bertahan 4 ini. Pengen ganti :)",4,2 years ago,
211,"Bang nanyak,kalo buat game sama note 8 bagus mana ya?",0,2 years ago,
212,Mediatek Helio G85 setara dengan Snapdragon berapa bang?,0,2 years ago,
213,Kira kira masih ada yang jual ga masSaya pengen beli,1,1 year ago,
214,"Reviewnya baru keluar pas gw baru beli . Gw belinya gara2 budget gw pas aja. Berhubung gw ga main game kayak ML atau PUBG, dan smartphone terakhir gw amat teramat kentang, jd gw sih puas2 aja. Yang gw ga suka ya ukurannya emang besar dan entah knp hotspot nya ga bisa nyambung ke laptop.",4,2 years ago,
215,"Alhamdulillah... Udah kebeli redmi note 9 6/128 .. Semangat pejuang nabung, HP nya mantep sih buat game",2,2 years ago,
216,Aku dari redmi 6A pengen ke redmi note 9.   Semoga yg pengen ganti hp bisa segera kebeli.aminnn,57,2 years ago,
217,Pilih mana bang antara infinix hot 11s nfc atau redmi not 9?,1,1 year ago,
218,Renot 8 snapdragon renot 9 mediatek helio. Pertanyaan nya lebih bagus mana antara kedua nya? Yg tau jwb,0,2 years ago,
219,Kan note 9 ada yang pro bang coba direview jg mgkn lebih bagus,0,2 years ago,
220,Bang klo Processor nya mediatek sertain GPS locking nya kadang suka susah,0,2 years ago,
221,Alhamdulillah nonton review ini pake redmi note 9,1,2 years ago,
222,"Alhamdulillah, udah ke beli  redmi note 9 nya",7,2 years ago,
223,"David : score antutu yang saya dapetin hanya 197000 sama seperti redmi note8, setelah saya tau agak gimana gitu sama mdtk G85.
Renot 9 update MIUI 12Xiaomi : SURPRISE",0,2 years ago,
224,"Gw pake not 9 nyaman"" aja no problem , apa lagi pas update miui 13 mantap dah , gw lebih fokus ke batre nya...mantap",2,5 months ago,
225,Mending mana bang redmi not 9 atau samsung m21??,0,2 years ago,
226,"Mantap bro David,,, semprot aja kayak model desinfektan tadi, klok jelek katakan jelek biar pada berbenah,,,",0,2 years ago,
227,Habis up jadi miui 12 sih bagi gua jadi lebih bagus,1,1 year ago,
228,"Redmi Note 9  : ""Kita tidak bisa menyenangkan semua orang""..",131,2 years ago (edited),
229,1 hal kak david kalo pas review tentang main game tolong cek untuk gyroscopenya juga work apa kagak kadang orang cari yg support gyro,2,2 years ago,
230,Bang David kasi saran dong aku mau ganti hp note 5 pro mau upgrade ke redmi note 7 pro atau redmi note 9 tapi masih bingung pas liat video review note 7 baterai note 7 bertahan 10 jam pas lihat video review bang David note 9 baterainya bertahan 9 jam kok bedaApa berpengaruh ram nya yaa bang pengen yang awet baterai,0,2 years ago,
231,Alhamdulillah nonton dah pake rednot 9 baru kebeli tadi,2,1 year ago,
232,"Baru pertama kali David test game Mobile Legend pake hero Gatotkaca,biasanya kan layla kalo nggk zilobg :v",1,2 years ago,
233,Amin bisa beli HP redmi note 9Akhirnya bisa punya yang gb nya besar,0,1 year ago,
234,"Review ulang RN 9, karena udah update MIUI 12 dan tambah enak !",166,2 years ago,
235,"Bikin video tentang flashing custom ROM, recovery, kernel, DLL dong",1,2 years ago,
236,"""Ya okelah. Yg penting ada"" dari sini bisa menggambarkan semuanya ttg hp tsb wkwkwk",0,2 years ago,
237,performa di MIUI 12 udh mantep bang,1,2 years ago,
238,alhamdulillah udh pakai renot 9 ini dan lancar2 saja:) mungkin tergantung pemakaiannya,1,2 years ago,
239,Seri Redmi Note 5 Pro videonya masih stabil sampai sekarang,1,5 months ago (edited),
240,Alhamdullah berkat 12.12 dari HP xiaomi 4A langsung ke 9 6/128,16,2 years ago,
241,"Kalau mau nyoba game Di hp,tambahin game PES MOBILE bang,kadang suka g yakin mana hp Yang cocok buat itu game",0,2 years ago,
242,"Hape yg bener2 value for money,  bang please di jawab. Itu speaker di desktop merk apa? Please infonya...",3,2 years ago,
243,"Bagus tapi sayang,guwa pake HP ini Untuk codm Hanya support grafik medium sama frame rate high gak kaya pendahulunya tapi lancar 2 aja sih semua game",1,2 years ago,
244,Kayaknya setelah di update ke MIUI 12 bakal jauh beda deh:),1,2 years ago,
245,"Nonton ini pake redmi 5A, Bismillah bulan depan upgrade",3,1 year ago,
246,Dari HP bisa nyasar ke desinfektan wkwk dasar bang david,6,2 years ago,
247,"Setiap tipe android baru keluar : gak ada yang berubah banyak
Setiap tipe iphone baru keluar: ada aja yang menonjol perbedaan nya",0,2 years ago,
248,alhamdulillah sudah kebeli dan belum ada kendala..karena hanya bermain di camera,1,2 years ago,
249,"Bang untuk Oppo sama vivo yang harga 5jtan kira-kira mana yg baik, mohon review nya",0,1 year ago,
250,"Itu dulu 8 bulan lalu sekarng udah beda jauh semenjak update MUI, gaming gk ada masalah sama sekali",2,2 years ago,
251,Bissmillah Minggu depan semoga bisa kebeli,0,2 years ago,
252,Alhamdulilah udah bli.Tadinya mau bli redmi 9t tapi kok naksir sama note 9 langsung beli hhehee,5,1 year ago,
253,"Semoga saat review hp  Oppo Vivo dan Realme, kritikannya sepedas kalo ngritik Xiaomi dan Samsung.  Semogaaa. Dan Semogaaaaa.......",0,2 years ago,
254,redmi note 9 sama note 8 bagusan yang mana ?,1,2 years ago,
255,"Review yang setelah upgrade miui dong, sekarang jauh lebih gahar",1,2 years ago,
256,"Kalo Redmi Note 8 Pro, rekomendid yang mana kira² ?",0,2 years ago,
257,Setelah update miui 12 jadi totally different phone loh gaes...,1,2 years ago,
258,"Alhamdulillah yang biasanya nyimak skrng dah kebeli note 9, smoga yang nonton bisa cpet beli aamiin.",6,2 years ago,
259,"Bang Kalo Test Game make game Sky Children Of The Light bang, Trus diliat dari settingan grafiknya bisa sampe mana",0,2 years ago,
260,"VS vivo y50 gimana bang??
Atau kalian yang pake vivo y50 gimana pengalamannya?",0,2 years ago,
261,"Masih bertahan sama redmi 5a selama 2.8 th semoga tahun ini bisa ganti hp ... Amin... Syukur"" dapat give away... :V",0,2 years ago,
262,Kalo chipset helio G85 sama snapdragon 665.Bagus mana,0,2 years ago,
263,Alhamdulillah hp redmi not 9 saya baru datang besok minggu,0,2 years ago,
264,Alhamdulillah baru beli note 8.. semoga yg ingin ganti hp ditambah rejeki nya,55,2 years ago,
265,"Baru beli 5 hari, tapi lancar"" Aja , apa lagi buat game, mantep banget, cuma d batre  agak boros dikit",0,2 years ago,
266,Bang rekomendasi hp snapdragon 855 tapi harga terjangkau apa ya?,0,2 years ago,
267,Enakan redmi note 10 apa note 9 kak,1,1 year ago,
268,"Bang David, tolong rekomendasikan HP yg cocok buat gaming tapi dana 2jt an",0,2 years ago,
269,Redmi note 9 apakah support dongle DAC ?,1,1 year ago,
270,"Alhamdulillah sudah bisa berkomentar menggunakan redmi note 9
Semoga yang lain bisa menyusul",722,2 years ago,
271,Yg mana bagus kaca atau poliycabonat yang tahan banting?,0,2 years ago,
272,Bang Bikin Daftar Video SmartWatch Terbaik di tiap kisaran harga...,0,2 years ago,
273,Untuk kamera kalian yg masih jelekCoba aktifin Gcam kamera asli lah super mantap apalagi kalog malem cakep bnner,0,2 years ago (edited),
274,Bang review E-SIM Smartfren dong buat hp yang support E-SIM. Penasaran sama cara kerja esim bang,4,2 years ago,
275,tapi jangan lupakan donk keunggulan utama hape ini ada di layar tompelnya,0,2 years ago,
276,"Bang david: ga terlalu merekomendasikan note 9
Me: mana sempat keburu nonton pake note 9~~~",307,2 years ago,
277,BANG ANTARA SNAPDRAGON DAN MEDIATEK HELIO BAGUSAN MANA?TY,1,2 years ago (edited),
278,"Oke Bang David udah ngegunain Green Screen, dan ini keren",0,2 years ago,
279,Semoga segera kebeli,1,1 year ago,
280,"Cara akalin performa sembunyi in kamera depan nya saat main game, helio G85 mantul coba itu gara gara software aja gara garam kamera depan model gitu",2,2 years ago,
281,Harga note 9 6/128 2.490.000 masih oke,0,2 years ago,
282,kalo di bandingin sama samsung m21 mnding mna bang,4,2 years ago,
283,Kenapa gak Review ulang setelah update ke MIUI 12..Hape ini jadi jauh lebih Layak loh,1,2 years ago,
284,Ginkgo mah menang dari segala aspek,1,2 years ago,
285,Gua juga redmi note 9 bang mending di  update ke MIUI 12 dan fps main ml pun 60 fps gak frame drop sama PUBG juga smooth ultra juga ga ada frame drop di HP gua menurut gua pribadi sih redmi note 9 itu sudah sangat bagus batrei oke kamera juga oke sih,0,2 years ago,
286,Riview ulang dong bang setelah update mui 12 hehe,1,2 years ago,
287,Bentar lg sih kyk nya cusrom G85 keluar soalnya liat Kasus note 8 pro dlu nunggu 4 bulan baru rilis cusrom nya,1,2 years ago,
288,"Nontonin review ini, sementara udah nungguin barang dateng dari PO redmi note 9 ....Tabah aku:"")",4,2 years ago,
289,Akhirnya Bisa Beli HP Ini Juga :),1,2 years ago,
290,Awesome screen awesome camera long lasting battery life nyimak aja lah,0,2 years ago,
291,Riview ulang bang setelah update miui 12.Jadi gahar hp note 9.,0,2 years ago,
292,"Makasih review nya bang David,,, fix gak jadi ganti dulu deh...",0,2 years ago,
293,Gue juga udah belii redmi note 9 semoga yg lain nyusul yaah,1,2 years ago,
294,"Kirain gue hp orang kaya,soalnya saudara gue yang punya ayah tajir terus dibeliin hp ini,ternyata 2jtan doang kirain gue 4jtan",23,2 years ago (edited),
295,"Udah make sekitar 2 tahunan, ini HP lumayan buat yang RAM 6 ROM 128",0,11 months ago (edited),
296,"kalo untuk redmi,,seri apa yg paling recommended untuk hp gaming bang",0,2 years ago,
297,Setelah update MIUI 12 buat game jadi lebih ok,2,2 years ago,
298,"david : ""soal jasa semprot disinfectant dari tokopedia""me : (tab tab tab)",23,2 years ago,
299,Bang milih mana antara redmi 9 atau note 9?,0,2 years ago,
300,Bang coba review lagi redmi note 9 yang udh di diupdate miui 12 penasaran sma pendapat lu bang itu kan updatenya ngeoptimalin si chipset mediatek helio g85,100,2 years ago,
301,"Next: kalo udah dipasarkan, review PS5 baru y bang...",0,2 years ago,
302,"Mau tanya, bagusan mana renot 8 / renot 9  kestabilan+smooth utk kamera vidionya buat bikin2 story ig gtu??",0,2 years ago,
303,Wkwkwk tadinya mau minang ini hp. Tapi gajadi.. grgr banyak yg review kurang sreg. Akhirnya ambil Note 8,0,2 years ago,
304,lebih rekomended mana ya antara redmi note 8 dengan redmi note 9?,0,2 years ago,
305,Alhamdulillah dah kebeli redmi not 9,1,2 years ago,
306,Bang davit. review ulang dong di 2021.soal udah stabil di miui 12,6,1 year ago (edited),
307,"Bang saran dong ,poco M3 ram 6/128 sama redmi not 9 ram 6/128 bagusan yg mana ?dalam segi pemakaian",1,1 year ago,
308,"Pernah ngerasa mediatek di redmi note 10s yang Helio g95, tapi Helio g85 yang dinote 9 lebih baik menurut saya",3,6 months ago,
309,Gpp punya yg kentang kita tetap bersyukur,0,2 years ago,
310,"bang mo nanya, kalo punya budget 3.5 jt better beli hp apa ya? palingan dipake buat motion graphic ama desain vector....gak main pubg dan game happening lainnya sih",1,2 years ago,
311,Setelah update bisalah lawan renot 8,0,2 years ago (edited),
312,"Baruuuu aja gw beli ni hp, eh baru ngeliat gadgetin nge review. Semoga ga mengecewakan... biasa ny gw liat review disini dulu -_-",20,2 years ago,
313,"misii numpang nanya dong , kalau note 9 sma note 8 nya aja mending mana yaa? mau upgrade dri 5a kepentok bugdet",5,1 year ago,
314,Bang boleh ngasih masukkan gadget in sebelum masuk mereview kasih music atau backsound yg khas gtu hehehe mantap setiap mereview semoga sukses selalu aamiin,0,2 years ago,
315,"Hallo buat yang udah pake redmi note 09 ini selamat ya, tapi gua mau nanya nih.. Selama lu make hape ini, ada kendala ga sih? Kok kalo gua video pake kameranya kadang (suaranya gak sesuai)atau (suaranya terlalu kecil),tulung ini gua jadi ga betah make ini jadinya.",1,2 years ago,
316,"saran aja bang,  mending tes game nya di aov full rata kanan high frame rate mode. biar lebih keliatan kuat atau enggaknya",0,2 years ago,
317,Udah aku subscribe dan like...Mau tanya bang => apa bener hp xiomi redmi itu ram nya kebagi sama sistem miui... Semisal ramnya 4 trus kebagi sama sistem miui jadi sisa 2?,1,2 years ago,
318,Alvin tse be like: why you don't recommend?David : '-'Alvin : we have redmi note 9 proDavid  :),218,2 years ago,
319,"Bersyukur udh bisa beli redot 9,,biasa paka oppo a71 pake hp gede ya gimana enak2 aja heheh ini udh MIUI 12 udh enteng buat ikut turnament MOBa
Semoga saya bisa jadi peamin esport,,,Amienn",1,2 years ago,
